"text","intent"
"What's the current status of the main power supply?","INTENT1_REALTIME"
"Show me the present beam current.","INTENT1_REALTIME"
"Is the cryo-system operating within parameters?","INTENT1_REALTIME"
"Give me the real-time temperature of the focusing magnets.","INTENT1_REALTIME"
"What's the instantaneous pressure in the vacuum chamber?","INTENT1_REALTIME"
"Display the current status of all safety interlocks.","INTENT1_REALTIME"
"Are all RF cavities synchronized right now?","INTENT1_REALTIME"
"What's the latest reading from the beam position monitors?","INTENT1_REALTIME"
"Is the cooling system running at optimal efficiency presently?","INTENT1_REALTIME"
"Provide an immediate readout of the accelerator's uptime.","INTENT1_REALTIME"
"Tell me the current luminosity.","INTENT1_REALTIME"
"What's the live status of the extraction system?","INTENT1_REALTIME"
"Are there any alarms active right now?","INTENT1_REALTIME"
"Show the instantaneous particle count.","INTENT1_REALTIME"
"Is the injection system in operation?","INTENT1_REALTIME"
"What's the current status of the data acquisition system?","INTENT1_REALTIME"
"Display the real-time energy stability.","INTENT1_REALTIME"
"Give me the live diagnostic data for the vacuum pumps.","INTENT1_REALTIME"
"Is the beamline clear?","INTENT1_REALTIME"
"What's the current state of the main control valve?","INTENT1_REALTIME"
"Show me the immediate power consumption.","INTENT1_REALTIME"
"Are the collimators in position?","INTENT1_REALTIME"
"What's the current radiation level near the experimental hall?","INTENT1_REALTIME"
"Is the ion source active?","INTENT1_REALTIME"
"Give me the current reading from the superconducting magnet sensors.","INTENT1_REALTIME"
"What's the real-time status of the beam dump?","INTENT1_REALTIME"
"Display the present status of all RF amplifiers.","INTENT1_REALTIME"
"Are the beam stoppers engaged?","INTENT1_REALTIME"
"What's the current vacuum level in section A?","INTENT1_REALTIME"
"Show me the instantaneous temperature of the superconducting coils.","INTENT1_REALTIME"
"Is the beam stable at the moment?","INTENT1_REALTIME"
"Give me the live data from the particle detectors.","INTENT1_REALTIME"
"What's the current status of the safety doors?","INTENT1_REALTIME"
"Display the present status of the power converters.","INTENT1_REALTIME"
"Are there any active interlocks for the injection line?","INTENT1_REALTIME"
"Show me the real-time data for the cooling water flow.","INTENT1_REALTIME"
"What's the current operational mode of the accelerator?","INTENT1_REALTIME"
"Is the target assembly cooled down?","INTENT1_REALTIME"
"Give me the current status of the timing system.","INTENT1_REALTIME"
"Display the live readout of the beam energy spread.","INTENT1_REALTIME"
"Are the vacuum pumps at optimal pressure?","INTENT1_REALTIME"
"What's the current status of the control room monitors?","INTENT1_REALTIME"
"Show me the instantaneous reading of the magnet current.","INTENT1_REALTIME"
"Is the accelerator ready for injection?","INTENT1_REALTIME"
"Give me the current status of the beam transport line.","INTENT1_REALTIME"
"Display the real-time data for the beam loss monitors.","INTENT1_REALTIME"
"Are all diagnostic tools online?","INTENT1_REALTIME"
"What's the current status of the experimental setup?","INTENT1_REALTIME"
"Show me the instantaneous power consumption of the RF system.","INTENT1_REALTIME"
"Is the accelerator in standby mode?","INTENT1_REALTIME"
"Give me the current data on beam emittance.","INTENT1_REALTIME"
"What's the live status of the electron source?","INTENT1_REALTIME"
"Display the current status of the ion gauges.","INTENT1_REALTIME"
"Are the beam diagnostic systems active?","INTENT1_REALTIME"
"Show me the current temperature of the beam pipe.","INTENT1_REALTIME"
"Is the accelerator performing as expected right now?","INTENT1_REALTIME"
"What's the real-time status of the magnet power supplies?","INTENT1_REALTIME"
"Give me the instantaneous reading of the radiation detectors.","INTENT1_REALTIME"
